"id","name","description","default_code"
"__export__.product_template_546_86b296e0","Lemon Tree - Vape Cartridge - HTFSE - 0.5g","","CO0029"
"import_03_29_0052","NOVA - Indica - Cartridge - 500mg","","VA0006"
"__export__.product_template_607_dfa0c877","Neutron Genetics - Live Resin Shatter - Dosido cookies - 0.5g","","CO0056"
"__export__.product_template_648_77a78e8d","Neutron Genetics - Live Resin Shatter - Super Glue - 0.5g","","CO0048"
"__export__.product_template_649_359bb179","Neutron Genetics - Live Resin Shatter - Tahoe OG - 0.5g","","CO0049"
"__export__.product_template_647_9448a4aa","Neutron Genetics - Live Resin Shatter - XJ-13 - 0.5g","","CO0047"
"__export__.product_template_652_fb9d6d0e","Neutron Genetics - Sauce - Gelato - 0.5g","","CO0059"
"__export__.product_template_650_6308b243","Neutron Genetics - Sauce - Girl Scout Cookies - 0.5g","","CO0050"
"__export__.product_template_651_1df77dc3","Neutron Genetics - Sauce - Skywalker OG - 0.5g","","CO0051"
"__export__.product_template_608_e3f53f57","Neutron Genetics - Sauce - Strawberry Lemonade - 0.5g","","CO0042"
"import_products_04_10_0006","Nova - Hybrid - Cartridge - 500mg","","VA0008"
"import_products_04_10_0001","Nova - Sativa - Cartridge - 500mg","","VA0007"
"__export__.product_template_382","Onewater One HD Hydration 28mg CBD","","BE0001"
"import_03_30_0004","Paradise Edibles - Chewy Caramel - 4 pack - 40mg CBD","","ED0004"
"import_03_30_0005","Paradise Edibles - Gummies - CBD 100mg","","ED0005"
"import_03_30_0006","Paradise Edibles - Gummies - CBD 250mg","","ED0006"
"__export__.product_template_457_f182e5eb","Paradise Edibles - Hard Candy - Caramel - 10mg/candy -50 candy/case","","ED0037"
"import_03_30_0002","Paradise Edibles - Hard Candy - Fruit Assorted - 4 pack - 40mg CBD","","ED0002"
"import_03_30_0001","Paradise Edibles - Hard Candy - Lemon - 10mg/candy - 50 candy/case","","ED0001"
"import_03_30_0003","Paradise Edibles - Hard Candy - Sugar Free Fruit","","ED0003"
"__export__.product_template_497_0363575b","Puff Puff Spray - Assorted flavors","","AC0009"
"import_03_29_0013","Purple Mountain - Edibles - Chew - Hemp Leaf / 100% CBD ","","ED0016"
"__export__.product_template_535_a70d860a","Riverview Farms - Diamond OG - Prepackaged Greenhouse Flower - 3.5g","","FL0009"
"__export__.product_template_565_2f5e189a","Riverview Farms - Gorilla Glue - Prepackaged Greenhouse Flower - 3.5g","","FL0018"
"__export__.product_template_540_7db7036b","Riverview Farms - Pre-Rolls - Hybrid - Single - 0.5g","","FL0013"
"__export__.product_template_537_d04991c3","Riverview Farms - Pre-Rolls - Indica - 6 pack","","FL0011"
"__export__.product_template_539_dff70b10","Riverview Farms - Pre-Rolls - Indica - Single - 0.5g","","FL0012"
"import_03_29_0036","Riverview Farms - Pre-Rolls - Sativa - 6 pack","","FL0003"
"__export__.product_template_538_1140435c","Riverview Farms - Pre-Rolls - Sativa - Single - 0.5g","","FL0014"
"import_03_29_0034","Riverview Farms - Sour Diesel - Prepackaged Greenhouse Flower - 3.5g","","FL0001"
"import_03_29_0043","Riverview Farms - Topicals - Balm","","TP0007"
"__export__.product_template_536_7fc34d80","Riverview Farms - True OG - Prepackaged Greenhouse Flower - 3.5g","","FL0010"
"import_03_30_0022","Sacred Biology -  - CBD Deodorant - 50mg","","TP0006"
"import_03_30_0021","Sacred Biology -  - CBD Lip Balm - 25mg","","TP0005"
"__export__.product_template_567_b1bfbdba","Santa Cruz Veterans Alliance - Flower - SCVA Kush - 3.5g ","","FL0019"
"__export__.product_template_456_27dc325b","Spliffin - Grand Battery","","AC0008"
"__export__.product_template_452_f68f4e53","Spliffin - Vape Cartridge - Maverick Disposable - Dante's Fire Indica - 0.3ml","","CO0022"
"__export__.product_template_453_0009f294","Spliffin - Vape Cartridge - Maverick Disposable - Super Spliffin Haze Sativa - 0.3ml","","CO0023"
